年度,部名,室名,管理対象部署のコード番号,管理対象部署名,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月
2016,市民交流部,市民生活室,44,長尾SC,1331,868,1144,1105,1181,1210,956,1202,844,1391,1353,1158
2016,市民交流部,市民生活室,45,西谷SC,0,0,0,0,0,0,0,0,0,0,0,0
2016,産業文化部,産業振興室,46,西谷自然休養村センター,1191,997,1092,1367,1503,1219,1100,1285,1811,1845,1909,2054
2016,市民交流部,市民生活室,47,仁川駅前SS,966.88,1135.09,1283.39,1387.13,1347.68,1306.95,6851,998.48,1118.29,1186.23,1203.21,1223.12
2016,市民交流部,市民生活室,48,宝塚駅前SS,629,701,1911,2835,2858,2537,1190,600,597,1245,791,824
2016,市民交流部,市民生活室,49,売布神社駅前SS,1029,1230,1360,1436,1405,1323,1251,1077,1074,1155,1094,1201
2016,市民交流部,市民生活室,50,中山台SS,0,0,0,0,0,0,0,0,0,0,0,0
2016,市民交流部,市民生活室,51,雲雀丘SS,4087,2609,3655,5393,6405,6034,4400,3309,4268,4452,6918,5750
2016,市民交流部,市民生活室,53,国民健康保険診療所,2931,2827,2999,3474,4091,2990,2827,3285,3681,4456,4269,4055
2016,総務部,行政管理室,59,看護専門学校,7588,7619,9379,13452,14782,13086,11377,8594,11100,12155,17411,12946
2016,総務部,人権平和室,62,くらんど人権文化センター,4401,4451,5485,7723,8799,6416,5594,5598,5950,6941,7348,6254
2016,総務部,人権平和室,63,まいたに人権文化センター,6147,4597,5803,6894,8479,7832,5426,5746,7887,8036,10907,8343
2016,総務部,人権平和室,64,ひらい人権文化センター,3215,1891,1743,2655,3576,4245,2611,2084,2878,3861,5108,4467
2016,都市安全部,生活安全室,67,ふじが丘雨量観測施設,22,15,14,10,13,15,21,27,34,32,30,31
2016,都市安全部,生活安全室,68,上佐曽利雨量観測施設,31,27,24,23,23,25,27,33,43,39,38,45
2016,都市安全部,生活安全室,77,街路灯全体,148568,142731,137793,141187,140217,141326,143505,143099,144516,148944,142983,141667
2016,都市安全部,生活安全室,78,末広返還所,366,309,307,415,474,552,389,272,312,350,430,431
2016,都市安全部,生活安全室,79,売布返還所,495,402,320,372,428,355,380,382,458,527,575,545
2016,都市安全部,建設室,82,道路付属施設,24882,23905,23175,24732,23684,23856,23910,22289,21082,27838,21527,20678
2016,都市安全部,建設室,84,小林フラワーセンター,53,49,24,28,30,31,40,40,51,44,47,50
2016,都市安全部,建設室,85,安倉フラワーセンター,225,204,201,307,417,499,147,129,167,412,557,297
2016,都市安全部,建設室,86,北部整備課,1020,770,820,1031,1215,893,845,1155,1475,1592,1884,1803
2016,健康福祉部,安心ネットワーク推進室,120,老人福祉センター,22492,24395,29506,40445,45155,35169,26474,25293,31481,39728,39615,33295
2016,健康福祉部,健康推進室,121,健康推進課（健康センター）,9468,9760,10878,13528,16334,12275,10496,10397,12796,15787,14676,13618
2016,健康福祉部,健康推進室,122,口腔保健センター,2839,2089,2622,2922,3125,3214,2464,2434,2939,3587,4367,4803
2016,健康福祉部,安心ネットワーク推進室,133,老人ホーム,9403,7706,9169,16591,18786,13410,9163,10795,18124,21760,20086,18420
